start,end,ra,dec,BH,DM
494391,494919,245.7349594546933,-6.87334222294947,0.0017641718182075487,0.0013233694336668056
494920,495475,247.20421218734205,-4.285582994023881,0.0017956017939573673,0.001363997367855111
495476,495797,253.3068988245846,-5.0961367749746955,0.0012250536994824915,0.0008399886222215912
495798,496031,260.8292953394669,-5.548299772007709,0.0010115442252628813,0.0006386338790397605
496032,496317,257.60740911317214,-4.754128486985568,0.0011441670856308526,0.0007605925319674115
496318,496638,258.1227720574811,-2.642452038156551,0.001224772187426241,0.0008297713960389837
496639,496791,264.72932686819473,-2.943764350002046,0.0006553702979830082,0.00040454034516624563
496792,496943,264.8342027380212,-1.5001752802718733,0.0006255280934756257,0.00039259097472147905
496944,497073,267.3317201228616,-0.1434728900988855,0.0005333907963750456,0.00032875364869118496
497074,497268,264.0476177896295,0.006121397587425183,0.0007588869083399059,0.0004908539011428681
497269,497497,262.5102313304175,0.9253387560707135,0.0008477788962739546,0.0005667680395853849
497498,497738,260.38789685253016,0.914117546143289,0.0008622600519712729,0.0005903109400127854
497739,498099,254.4908735650282,-1.1984834670131754,0.0012405821212156155,0.000895482794158115
498100,498534,252.02087136728235,0.5595280745231108,0.0013610290808462986,0.0010341602730312691
498535,498893,256.1515785861648,2.4398716138278695,0.0011490382771561028,0.0008482699213251643
498894,499174,261.0584126544875,4.4546627827676115,0.0009176853171399941,0.0006549082562693133
499175,499564,257.1783819198866,5.332024844444035,0.001167031067972332,0.0008846700085574355
499565,500276,240.38434082436999,-3.151555266963736,0.0019286619757200745,0.0015946094774494702
500277,501155,238.78446450992294,-2.513126896452845,0.002253523346129303,0.0019321717525325698
501156,502152,237.25447501163407,0.004040772798039254,0.002321890282169065,0.0020887497689757346
502153,503324,233.24391000674936,2.2382000613524204,0.002356778204049689,0.0022894540748844955
503325,504180,240.72154653718934,4.737532613570934,0.0019394040151508116,0.0017513257568486371
504181,504873,247.1906300659733,5.846719754481097,0.001712958322444257,0.0014719503004076496
504874,505420,253.99991083208897,8.605688723905038,0.0014124223556012394,0.001161521279706839
505421,506182,247.6745253052438,9.605707652648809,0.0017090271764562373,0.0015315571026116458
506183,507173,243.35560600777558,11.064053873848264,0.0019723047423499942,0.0018955009459675752
507174,507924,247.6953066772146,15.016601063295429,0.0014714455395410228,0.0013994844924393745
507925,508013,270.6906053974455,1.8176913916165232,0.00036047357782529113,0.00021712143190820112
508014,508122,269.4537682066446,2.678619873279209,0.0004231967574934875,0.00026274366494817054
508123,508208,271.50094996891755,3.600809489538449,0.00033343565733028713,0.000203334911339773
508209,508277,273.91880636885725,4.550325615335455,0.00026761943254754436,0.00015960700359492663
508278,508370,271.9973977676619,4.989728136349644,0.00034761021607616156,0.00021477299913508148
508371,508500,269.30511028656633,4.604007230820932,0.0004749573393745732,0.0003033895940852278
508501,508680,267.1288365716478,5.2898536650178904,0.0006258867300162839,0.00041642823018552623
508681,508817,270.4573253913556,6.67214051046555,0.0004769064793624738,0.00030876581498466213
508818,508949,270.4272467608842,7.560536701404401,0.000447553018086939,0.0002928226996649475
508950,509012,276.0677881346417,6.379509576045621,0.00023662212368695982,0.00014036022148427953
509013,509075,276.11046298495756,7.183407757887377,0.00023081588872633918,0.0001385209662595006
509076,509156,274.9155809002747,7.729080031311703,0.0002878146130519501,0.00017734834031363374
509157,509213,277.1298374919885,8.396451141628857,0.0002033380446611195,0.00012235401205455904
509214,509262,278.65768671668883,8.773728074014715,0.00017552197892735963,0.00010389287315215639
509263,509306,279.8477344133154,9.711160856882046,0.00015487795710152451,9.139680445303539e-05
509307,509370,277.2402351520502,9.594422941763785,0.0002200244241485508,0.00013479102945850399
509371,509432,278.3280665128889,10.689625114426796,0.00020824199581512593,0.0001277374128996366
509433,509540,273.6839386321354,8.90663468637205,0.0003646537790174495,0.00023288296526006481
509541,509675,272.3723573209741,9.990531273553245,0.0004337788575845016,0.00028700388159173275
509676,509774,275.23146782626173,11.005339701213884,0.00031838811298933665,0.00020532836363244808
509775,509878,275.54555732121764,12.05144115538921,0.00032460890258401815,0.00021189176620302715
509879,510031,269.21764731316483,9.483382038797465,0.00048168309870508296,0.00032870266695177663
510032,510271,265.0084664847552,7.863683531193514,0.0007492866975230448,0.0005318161311105231
510272,510516,265.92661264702434,9.617169965740528,0.0007338948014796595,0.000527193384015583
510517,510851,262.87321029687627,10.524536990040495,0.0009361308232839819,0.0007088754554795083
510852,511083,266.87422951497297,11.99507965302381,0.0006550096804073535,0.00047955085920179134
511084,511277,270.3200758479611,12.720907985989124,0.0005582840636733602,0.000395867363109642
511278,511440,272.7948172575348,14.47250331429248,0.00045705586634806734,0.00032189140659492725
511441,511697,268.1714607892721,14.483384165963798,0.0006818305273057228,0.0005104990869338544
511698,511953,269.46760249339997,16.51142384787297,0.0006478703050663833,0.0004918162607333306
511954,512028,273.90685952128615,15.348666124322062,0.00021165976970595208,0.0001446901833026047
512029,512067,281.1541927928863,11.114995131187204,0.0001329679291386816,7.873119225550056e-05
512068,512101,282.88454035755325,11.805102338394962,0.00011527365167067224,6.727435163121065e-05
512102,512146,281.3234749022411,12.032085161519742,0.00014920392077488555,8.948397144939452e-05
512147,512207,280.17173276207006,12.362796050313026,0.00019787402472974005,0.00012138648238244725
512208,512261,281.56982016223526,13.336518122930723,0.00017213502696917536,0.00010510611229633427
512262,512297,284.17588134400415,13.077921096335324,0.00011853709898648949,6.935546457929629e-05
512298,512335,284.51695027590335,13.80144893053803,0.00012259339035486076,7.227363315119225e-05
512336,512362,285.60955519205754,14.426265668434937,8.618198058935255e-05,5.0549522869847964e-05
512363,512402,284.0694244934831,14.486057451313087,0.00012571014944059912,7.549881736092586e-05
512403,512455,282.84963293320783,14.754186330474651,0.00016331210881353987,0.0001003050790396083
512456,512507,284.02918841410155,15.761911059795429,0.00015676428917427306,9.632541560419484e-05
512508,512592,278.9562535984583,13.532924701815787,0.00026241065657219925,0.00016700799166270648
512593,512695,278.3123474412243,14.518338057712118,0.0003059985148813635,0.00019978202135017417
